|Texto|Tema|Probabilidad
0|Educacion Matematica|2|0.7733071
1|Matematica: Razonamiento Y Aplicaciones 10/e|2|0.8295214
2|Gaceta matemática|1|0.7768654
3|Matemática elemental|1|0.77737653
4|Introducción a la matemática de los juegos|1|0.48492715
5|Revista matemática hispano-americana|1|0.5040555
6|Didactica De La Matematica En La Educacion Primaria Intercultural Bilingue|0|0.92623115
7|Inteligencia Matematica|2|0.7738172
8|Matematica Preuniversitaria|2|0.6621963
9|Matemática elemental|1|0.7773766
10|Cálculo|1|0.6653303
11|Calculo Diferencial E Integral|2|0.81893015
12|Calculo|2|0.66592544
13|Maestría en el cálculo|2|0.67813945
14|Calculus. I|0|0.33333334
15|Cálculo en variedades|2|0.5920475
16|Calculo 4000|2|0.6659256
17|Cálculo Integral|1|0.77212405
18|Programación y cálculo numérico|1|0.6143717
19|Cálculo numérico|1|0.77700937
20|Algebra y Trigonometria|1|0.4642857
21|Algebra Elemental|1|0.77742434
22|Algebra Lineal Y Sus Aplicaciones|1|0.8548776
23|algebra|1|0.66626143
24|Álgebra|2|0.65931755
25|Recent Research on Pure and Applied Algebra|1|0.91515994
26|Cuestiones sobre álgebra lineal|2|0.8598312
27|Algebra intermedia|1|0.77690566
28|Algebra Lineal|1|0.7632161
29|Polynomials|1|0.66424644
30|Pensamiento Computacional 2°. Básico - IGER|1|0.8657064
31|Pensamiento Computacional 4.° Bachilerato|1|0.83149844
32|Separata Pensamiento Computacional - Segundo Básico Semestre II|1|0.91617435
33|Pensamiento Computacional 3° Básico - IGER|1|0.86570716
34|Escuela de Pensamiento Computacional e Inteligencia Artificial 2021/22. De la formación docente al cambio metodológico. Resultados de la investigación|0|0.9123377
35|Separata Pensamiento Computacional - Tercero Básico Semestre II|1|0.91617435
36|El Pensamiento Computacional|1|0.6221764
37|Pensamiento Computacional 1° Básico - IGER|1|0.8657071
38|Cuaderno pensamiento computacional|1|0.8314235
39|Escuela de Pensamiento Computacional e Inteligencia Artificial 20/21: Enfoques y propuestas para su aplicación en el aula. Resultados de la investigación|2|0.70234865
40|Sanando con alimentos integrales|0|0.8602711
41|Cálculo Integral|1|0.77216655
42|Operadores integrales de Fourier|1|0.47096688
43|Cálculo Integral. La integral indefinida y métodos de integración|0|0.6274188
44|Introducción a las series integrales de fourier|0|0.89933395
45|Talleres integrales en educación infantil|0|0.8824729
46|Proyectos Integrales|1|0.7716561
47|Cálculo de Integrales Indefinidas|1|0.6411825
48|Ecuaciones Integrales: texto para el plan de maestría y doctorado en Física|2|0.7742766
49|Seminario Sobre Adentamientos Rurales Integrales|1|0.8843261
50|Los determinantes|1|0.5116024
51|Efecto de las intervenciones en salud en el perfil de determinantes intermedios y próximos de la mortalidad infantil para el período 1990-2000|0|0.96706104
52|Determinantes Del Rendimiento Académico|1|0.48713386
53|Los determinantes del crecimiento económico|0|0.7102932
54|Memoria sobre la teoría de las determinantes|0|0.91174984
55|El paradigma determinante en español|2|0.88582
56|Brecha Digital Y Sus Determinantes|0|0.8600882
57|Determinantes de la sustitución del colón costarricense 1987-2003|0|0.91591156
58|Los determinantes: Clases y usos.|1|0.69765955
59|Factores Determinantes de la Estructura|0|0.8877732
60|Historia del Uruguay|0|0.83310837
61|Historia mínima de Uruguay|0|0.86579037
62|La historia escondida del Uruguay|0|0.88851064
63|Historia del Uruguay|0|0.83310825
64|Compendio de la historia de la República O. del Uruguay|0|0.9329942
65|Breve historia del Uruguay independiente|0|0.8882558
66|Historia del Uruguay y de America|0|0.88827723
67|Apuntes para la historia de la República oriental del Uruguay desde el año de 1810 hasta el de 1852|0|0.9621012
68|Historia de la dominación española en el Uruguay|0|0.9233408
69|Historia del Uruguay en el siglo XX|0|0.913432
70|Intro. A las ecuaciones en derivadas parciales|2|0.88449967
71|Ecuaciones diferenciales en derivadas parciales|2|0.8870984
72|Derivadas. Calculo y aplicaciones|2|0.8295177
73|Derivadas|2|0.66081154
74|La Derivada Parcial Es Facil Manual Autodidactico|0|0.9157776
75|Ecuaciones derivadas parciales|2|0.8323692
76|Introducción a las ecuaciones en derivadas parciales|2|0.896867
77|Matem‡ticas 4¼ ESO - 16. Derivadas (I)|0|0.5176723
78|Matem‡ticas 4¼ ESO - 17. Derivadas (II)|0|0.38209
79|Funciones trigonométricas|1|0.77628857
80|Taylor's Guide to Specialty Nurseries|1|0.8661324
81|The Rhetoric of Jeremy Taylor's Prose|2|0.884502
82|Merchant Taylor's School|1|0.7762999
83|The Poetical and Dramatic Works of S.T. Coleridge|2|0.91353834
84|Taylor's Pocket Guide to Perennials for Sun|1|0.9043119
85|Myron C. Taylor's Mission to the Vatican|1|0.884855
86|Joan Du Plat Taylor's Excavations at the Late Bronze Age Mining Settlement at Apliki Karamallos|1|0.9548449
87|Taylor's Encyclopedia of Government Officials|2|0.86438787
88|An Investigation of the Orbits of the Two Components of Taylor's Comet|0|0.9396908
89|Taylor's Guide to Roses|1|0.8327882
90|Cuerpo de Profesores de Enseñanza Secundaria. Informatica. Programacion Didactica Ebook|0|0.92286134
91|Cuerpo de Maestros. Programación Didáctica. Educacion Fisica.e-book.|0|0.84059703
92|Desarrollo de herramientas para una programación eficiente de las redes de transputers|0|0.94776887
93|Programación en C++ para ingenieros|0|0.8600469
94|Programación en Clipper 5|0|0.825519
95|Fundamentos de Programacion Piensa en C|0|0.88012326
96|Programacion Lineal y Decisiones Economicas|2|0.8629663
97|Programación avanzada orientada a objetos|0|0.86519504
98|Programacion Financiera Aplicada; El Caso de Colombia|2|0.8657572
99|115 Ejercicios resueltos de programación C++|0|0.8652394
100|Diseño y construcción de algoritmos|0|0.86513686
101|Algoritmos: la base de la programación de computadoras (Algorithms: The Building Blocks of Computer Programming)|0|0.95090365
102|Diseño de algoritmos con implementaciones en Pascal y C|0|0.9022038
103|Algoritmos En C++|0|0.75919193
104|Algoritmos|0|0.6564978
105|Diseño y construcción de algoritmos|0|0.86513925
106|Aprenda a Diseñar Algoritmos|1|0.80734307
107|Mejora de los algoritmos de latencia variable para el cálculo de la división|0|0.5063859
108|Métodos y algoritmos básicos del álgebra numérica|0|0.89682096
109|Algoritmos|0|0.6564611
